neighbourhood,price,avg_reviews,count
Arverne,158.5151515151515,34.13636363636363,66
Astoria,116.01833568406207,27.235543018335683,709
Bay Terrace,118.8,49.8,5
Bayside,178.1290322580645,29.93548387096774,31
Bayswater,92.27272727272727,17.363636363636363,11
Belle Harbor,166.4,14.8,5
Bellerose,80.5,14.75,8
Breezy Point,195.0,2.5,2
Briarwood,101.24444444444444,27.711111111111112,45
Cambria Heights,83.4375,30.3125,16
College Point,93.0,29.266666666666666,15
Corona,56.932203389830505,30.610169491525422,59
Ditmars Steinway,92.90283400809717,31.76923076923077,247
Douglaston,82.75,20.875,8
East Elmhurst,81.22222222222223,88.34502923976608,171
Edgemere,94.625,14.125,8
Elmhurst,80.14432989690722,28.628865979381445,194
Far Rockaway,72.5,17.0,22
Flushing,83.8374655647383,40.82093663911846,363
Forest Hills,106.16666666666667,26.75,120
Fresh Meadows,99.46666666666667,34.833333333333336,30
Glendale,91.1304347826087,31.717391304347824,46
Hollis,76.7,16.4,10
Holliswood,159.0,7.5,2
Howard Beach,113.86666666666666,18.133333333333333,15
Jackson Heights,80.3125,31.63125,160
Jamaica,86.171875,51.614583333333336,192
Jamaica Estates,134.78571428571428,42.57142857142857,14
Jamaica Hills,136.71428571428572,9.857142857142858,7
Kew Gardens,72.30434782608695,14.434782608695652,23
Kew Gardens Hills,95.33333333333333,15.761904761904763,21
Laurelton,96.9375,33.0,16
Little Neck,42.333333333333336,6.333333333333333,3
Long Island City,117.37259615384616,29.46153846153846,416
Maspeth,88.38271604938272,30.74074074074074,81
Middle Village,108.85714285714286,37.67857142857143,28
Neponsit,274.6666666666667,15.333333333333334,3
Ozone Park,86.7872340425532,32.170212765957444,47
Queens Village,78.40816326530613,42.93877551020408,49
Rego Park,79.91111111111111,30.6,90
Richmond Hill,85.76543209876543,39.876543209876544,81
Ridgewood,80.4375,25.585526315789473,304
Rockaway Beach,130.85106382978722,28.893617021276597,47
Rosedale,77.27450980392157,32.80392156862745,51
South Ozone Park,85.05263157894737,51.23684210526316,38
Springfield Gardens,93.35,73.4125,80
St. Albans,97.52173913043478,37.44927536231884,69
Sunnyside,84.13265306122449,27.448979591836736,294
Whitestone,127.875,31.125,8
Woodhaven,62.72222222222222,38.77777777777778,72
Woodside,89.8529411764706,29.61764705882353,170
