neighbourhood,price,avg_reviews,count
Arden Heights,67.25,7.75,4
Arrochar,118.25,15.35,20
"Bay Terrace, Staten Island",102.5,1.5,2
Bull's Head,48.0,30.666666666666668,3
Castleton Corners,182.0,50.5,2
Clifton,84.92307692307692,54.46153846153846,13
Concord,60.583333333333336,27.0,24
Dongan Hills,79.42857142857143,22.571428571428573,7
Eltingville,63.0,114.0,2
Emerson Hill,69.0,18.666666666666668,3
Graniteville,68.66666666666667,41.0,3
Grant City,60.5,40.25,4
Great Kills,100.6,26.4,10
Grymes Hill,156.5,12.333333333333334,6
Howland Hook,100.0,20.5,2
Huguenot,118.33333333333333,55.666666666666664,3
Lighthouse Hill,157.5,39.0,2
Mariners Harbor,79.57142857142857,24.714285714285715,7
Midland Beach,97.5,9.25,4
New Brighton,101.8,40.2,5
New Dorp Beach,38.0,37.0,2
New Springville,69.16666666666667,39.166666666666664,6
Oakwood,81.2,1.8,5
Port Richmond,77.14285714285714,21.857142857142858,7
Prince's Bay,135.0,11.5,2
Randall Manor,75.52941176470588,20.11764705882353,17
Richmondtown,78.0,79.0,1
Rosebank,111.85714285714286,30.714285714285715,7
Rossville,75.0,21.0,1
Shore Acres,105.0,48.666666666666664,3
Silver Lake,70.0,118.5,2
South Beach,89.25,11.875,8
St. George,102.31428571428572,56.77142857142857,35
Stapleton,84.875,43.166666666666664,24
Todt Hill,169.0,4.0,4
Tompkinsville,77.25,60.0,40
Tottenville,160.8,27.8,5
West Brighton,66.25,41.0,16
Westerleigh,71.5,9.0,2
Willowbrook,249.0,9.0,1
