neighbourhood,price,avg_reviews,count
Battery Park City,182.19444444444446,16.11111111111111,36
Chelsea,221.7944377267231,28.48851269649335,827
Chinatown,157.46417445482865,30.968847352024923,321
Civic Center,169.83333333333334,21.233333333333334,30
East Harlem,132.74655355249206,38.64262990455992,943
East Village,174.77635997313632,29.98119543317663,1489
Financial District,218.75049115913555,13.61689587426326,509
Flatiron District,291.48275862068965,24.46551724137931,58
Gramercy,205.19391634980988,29.20912547528517,263
Greenwich Village,239.12091503267973,21.323529411764707,306
Harlem,117.1483666061706,34.44963702359347,2204
Hell's Kitchen,186.2205497382199,32.68324607329843,1528
Inwood,84.8128078817734,23.103448275862068,203
Kips Bay,180.10385756676558,17.320474777448073,337
Little Italy,176.8021978021978,30.75824175824176,91
Lower East Side,177.43360433604337,32.73848238482385,738
Marble Hill,94.0,16.8,10
Midtown,267.58316430020284,19.720081135902635,986
Morningside Heights,113.9563492063492,18.25,252
Murray Hill,218.08360128617363,14.581993569131832,311
NoHo,298.4516129032258,16.032258064516128,62
Nolita,233.70731707317074,27.458536585365852,205
Roosevelt Island,114.10606060606061,18.393939393939394,66
SoHo,281.30313588850174,25.209059233449477,287
Stuyvesant Town,126.0,13.130434782608695,23
Theater District,236.18243243243242,29.33783783783784,148
Tribeca,460.3,18.490909090909092,110
Two Bridges,122.21666666666667,35.483333333333334,60
Upper East Side,167.3032028469751,22.552313167259786,1405
Upper West Side,186.612685560054,24.330634278002698,1482
Washington Heights,86.98196948682386,23.801664355062414,721
West Village,250.32622950819672,24.401639344262296,610
