neighbourhood,price,avg_reviews,count
Allerton,90.5945945945946,48.729729729729726,37
Baychester,78.0,51.666666666666664,6
Belmont,79.45,14.8,20
Bronxdale,51.875,28.625,16
Castle Hill,74.0,59.0,2
City Island,94.26666666666667,50.6,15
Claremont Village,68.9375,21.875,16
Clason Point,101.33333333333333,17.555555555555557,18
Co-op City,77.5,17.0,2
Concourse,77.95121951219512,40.073170731707314,41
Concourse Village,73.16666666666667,33.625,24
East Morrisania,85.0,48.0,10
Eastchester,124.9,15.7,10
Edenwald,84.55555555555556,22.22222222222222,9
Fieldston,75.08333333333333,12.166666666666666,12
Fordham,62.06382978723404,20.340425531914892,47
Highbridge,72.04545454545455,58.22727272727273,22
Hunts Point,51.8125,11.0,16
Kingsbridge,78.20370370370371,26.574074074074073,54
Longwood,74.48936170212765,35.170212765957444,47
Melrose,82.71428571428571,12.857142857142858,7
Morris Heights,62.75,38.75,12
Morris Park,72.0,20.846153846153847,13
Morrisania,75.42857142857143,26.571428571428573,7
Mott Haven,80.71698113207547,47.9622641509434,53
Mount Eden,60.6,84.0,5
Mount Hope,80.27777777777777,24.166666666666668,18
North Riverdale,59.166666666666664,30.333333333333332,6
Norwood,68.125,21.625,24
Olinville,53.0,15.0,2
Parkchester,68.5625,28.46875,32
Pelham Bay,113.46153846153847,34.0,13
Pelham Gardens,89.04,45.6,25
Port Morris,70.47368421052632,24.94736842105263,38
Riverdale,226.85714285714286,41.857142857142854,7
Schuylerville,69.23076923076923,32.53846153846154,13
Soundview,52.84615384615385,33.92307692307692,13
Spuyten Duyvil,154.75,17.5,4
Throgs Neck,94.52380952380952,36.61904761904762,21
Tremont,49.9,22.7,10
Unionport,162.0,20.8,5
University Heights,67.70588235294117,45.8235294117647,17
Van Nest,58.55555555555556,22.88888888888889,9
Wakefield,75.70731707317073,31.195121951219512,41
West Farms,122.0,3.5,2
Westchester Square,127.44444444444444,17.22222222222222,9
Williamsbridge,104.41176470588235,33.470588235294116,34
Woodlawn,60.09090909090909,44.0,11
